latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
7.6274,-62.24881,310.51,0.5,0.66,2025-01-18,622,N,VIIRS,n,2.0NRT,289.04,3.33,N
7.62823,-62.25334,336.78,0.5,0.66,2025-01-18,622,N,VIIRS,n,2.0NRT,289.38,5.88,N
7.65716,-63.46404,307.99,0.41,0.61,2025-01-18,622,N,VIIRS,n,2.0NRT,290.37,1.04,N
7.70375,-64.09965,302.65,0.37,0.58,2025-01-18,622,N,VIIRS,n,2.0NRT,290.93,0.71,N
7.73448,-64.35898,306.48,0.36,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.71,0.5,N
7.74386,-64.01376,302.63,0.38,0.59,2025-01-18,622,N,VIIRS,n,2.0NRT,290.55,0.56,N
7.79002,-68.97482,320.62,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,291.37,2.19,N
7.79307,-68.9693,312.89,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,290.53,2.25,N
7.79389,-68.97416,323.19,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,291.6,2.92,N
7.79694,-68.96864,324.96,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,290.88,2.25,N
7.79776,-68.9735,304.28,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,290.85,2.92,N
7.80082,-68.96799,313.66,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,290.43,1.48,N
7.80105,-66.96897,305.97,0.48,0.48,2025-01-18,622,N,VIIRS,n,2.0NRT,292.05,0.9,N
7.82857,-68.94321,302.98,0.54,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,289.17,1.29,N
7.83638,-68.84583,301.8,0.55,0.42,2025-01-18,622,N,VIIRS,n,2.0NRT,290.99,1.74,N
7.8457,-69.32693,335.14,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,292.77,4,N
7.84726,-69.3362,310.89,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,291.97,3.16,N
7.84949,-69.32629,314.54,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,291.78,4,N
7.85027,-69.33092,323.76,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,292.25,4,N
7.85105,-69.33556,334.59,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,292.19,3.16,N
7.85209,-64.77317,305.55,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,292.32,0.31,N
7.85328,-69.32565,320.28,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,291.94,3.87,N
7.85406,-69.33028,341.16,0.51,0.41,2025-01-18,622,N,VIIRS,n,2.0NRT,292.55,3.87,N
7.85719,-64.77219,303.29,0.33,0.56,2025-01-18,622,N,VIIRS,n,2.0NRT,291.91,0.49,N
7.90108,-65.16433,304.6,0.63,0.54,2025-01-18,622,N,VIIRS,n,2.0NRT,291.74,0.79,N
7.9044,-64.86058,303.46,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.13,1.29,N
7.90493,-64.86357,338.25,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.86,1.29,N
7.90665,-64.85991,305.82,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.48,1.24,N
7.9072,-64.86289,330.75,0.33,0.55,2025-01-18,622,N,VIIRS,n,2.0NRT,292.96,1.24,N
7.90902,-64.30941,314.27,0.36,0.57,2025-01-18,622,N,VIIRS,n,2.0NRT,291.86,1.08,N
